Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
86;Calebe;br BRA;MF,DF;Alavés;25-256;2000;13;10;540;6.0;0;0;0;0;0;0;2;0;0.1;0.1;0.5;0.6;19;20;43;0.00;0.00;0.00;0.00;0.00;0.02;0.08;0.11;0.02;0.11;Matches
87;Fernando Calero;es ESP;DF;Espanyol;30-119;1995;14;12;1,106;12.3;0;0;0;0;0;0;2;0;1.5;1.5;0.0;1.5;3;13;2;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.12;0.12;0.12;Matches
88;Duje ?aleta-Car;hr CRO;DF;Real Sociedad;29-116;1996;12;11;1,002;11.1;0;0;0;0;0;0;4;0;0.6;0.6;0.1;0.8;10;40;2;0.00;0.00;0.00;0.00;0.00;0.06;0.01;0.07;0.06;0.07;Matches
89;Dani Calvo;es ESP;DF;Oviedo;31-285;1994;9;7;705;7.8;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.0;1;15;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
90;Dawda Camara;mr MTN;FW;Girona;23-068;2002;2;1;72;0.8;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.3;0;2;1;0.00;0.00;0.00;0.00;0.00;0.15;0.23;0.39;0.15;0.39;Matches
91;Eduardo Camavinga;fr FRA;MF;Real Madrid;23-062;2002;13;5;602;6.7;1;0;1;1;0;0;0;0;1.0;1.0;0.9;1.9;13;40;18;0.15;0.00;0.15;0.15;0.15;0.15;0.14;0.29;0.15;0.29;Matches
92;Sergio Camello;es ESP;FW,MF;Rayo Vallecano;24-335;2001;12;4;439;4.9;0;0;0;0;0;0;2;1;1.0;1.0;0.1;1.1;1;8;21;0.00;0.00;0.00;0.00;0.00;0.20;0.02;0.22;0.20;0.22;Matches
93;Sergi Cardona;es ESP;DF;Villarreal;26-187;1999;15;10;957;10.6;0;3;3;0;0;0;2;0;0.7;0.7;1.4;2.0;21;29;60;0.00;0.28;0.28;0.00;0.28;0.06;0.13;0.19;0.06;0.19;Matches
94;Fábio Cardoso;pt POR;DF;Sevilla;31-267;1994;3;3;217;2.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
95;Johnny Cardoso;us USA;MF;Atlético Madrid;24-113;2001;5;4;227;2.5;0;0;0;0;0;0;2;0;0.0;0.0;0.2;0.2;5;13;3;0.00;0.00;0.00;0.00;0.00;0.01;0.07;0.08;0.01;0.08;Matches
96;David Carmo;ao ANG;DF;Oviedo;26-176;1999;14;12;1,092;12.1;1;0;1;1;0;0;7;1;0.9;0.9;0.1;0.9;7;45;2;0.08;0.00;0.08;0.08;0.08;0.07;0.01;0.08;0.07;0.08;Matches
97;Carmona;es ESP;DF;Sevilla;23-347;2002;16;15;1,358;15.1;1;3;4;1;0;0;8;0;0.4;0.4;1.2;1.6;29;45;54;0.07;0.20;0.27;0.07;0.27;0.02;0.08;0.11;0.02;0.11;Matches
98;Sergio Carreira;es ESP;MF,DF;Celta Vigo;25-090;2000;15;14;1,283;14.3;1;1;2;1;0;0;1;0;0.6;0.6;0.4;1.0;26;69;93;0.07;0.07;0.14;0.07;0.14;0.04;0.03;0.07;0.04;0.07;Matches
99;Gorka Carrera;es ESP;FW;Real Sociedad;20-241;2005;1;0;14;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
100;Álvaro Carreras;es ESP;DF;Real Madrid;22-294;2003;17;16;1,428;15.9;1;1;2;1;0;0;3;1;0.2;0.2;1.0;1.2;38;132;89;0.06;0.06;0.13;0.06;0.13;0.01;0.06;0.07;0.01;0.07;Matches
101;Dani Carvajal;es ESP;DF;Real Madrid;34-000;1992;7;4;376;4.2;0;0;0;0;0;0;0;0;0.2;0.2;0.5;0.7;3;18;20;0.00;0.00;0.00;0.00;0.00;0.04;0.12;0.16;0.04;0.16;Matches
